classe,name_img,set
chair,2008_005857,validation
dog,2008_005860,validation
boat,2008_005863,validation
dog,2008_005865,validation
dog,2008_005871,train
aeroplane,2008_005873,train
chair,2008_005881,validation
dog,2008_005882,train
dog,2008_005883,validation
aeroplane,2008_005889,validation
dog,2008_005890,train
bird,2008_005895,validation
dog,2008_005897,train
dog,2008_005898,validation
bird,2008_005903,train
aeroplane,2008_005905,train
aeroplane,2008_005907,validation
chair,2008_005914,validation
aeroplane,2008_005916,train
boat,2008_005923,train
bird,2008_005924,validation
horse,2008_005928,validation
horse,2008_005934,validation
bird,2008_005935,train
chair,2008_005937,train
sheep,2008_005938,train
chair diningtable,2008_005954,train
bird,2008_005956,train
boat,2008_005959,train
dog,2008_005964,validation
train,2008_005968,train
dog,2008_005972,train
diningtable,2008_005975,validation
dog,2008_005979,train
dog,2008_005980,validation
sheep,2008_005987,validation
bird,2008_005997,train
bird,2008_006000,train
bird,2008_006002,validation
dog,2008_006007,validation
chair diningtable,2008_006008,validation
train,2008_006010,validation
boat,2008_006014,train
dog,2008_006020,train
boat,2008_006021,validation
horse,2008_006028,validation
dog,2008_006032,train
aeroplane,2008_006034,validation
horse,2008_006036,validation
dog,2008_006038,validation
dog,2008_006041,validation
chair,2008_006045,validation
boat,2008_006046,train
dog,2008_006049,train
train,2008_006055,validation
bird,2008_006058,validation
sheep,2008_006059,validation
cow,2008_006063,validation
boat,2008_006065,train
dog,2008_006067,train
sheep,2008_006070,train
dog,2008_006071,validation
dog,2008_006074,train
chair,2008_006076,train
aeroplane,2008_006085,train
horse,2008_006087,validation
bird,2008_006090,train
boat,2008_006094,validation
horse,2008_006096,train
sheep,2008_006100,validation
aeroplane,2008_006109,validation
chair,2008_006111,train
dog,2008_006119,train
diningtable,2008_006120,validation
boat,2008_006121,train
bird,2008_006128,train
dog,2008_006129,train
dog,2008_006130,validation
chair diningtable,2008_006133,train
aeroplane,2008_006140,train
bird,2008_006143,validation
chair diningtable,2008_006151,validation
train,2008_006158,train
boat,2008_006163,validation
bird,2008_006164,train
dog,2008_006166,validation
aeroplane,2008_006169,validation
dog,2008_006170,train
dog,2008_006178,validation
bird,2008_006179,validation
boat,2008_006185,validation
bird,2008_006186,train
diningtable,2008_006192,train
aeroplane,2008_006200,validation
dog,2008_006203,validation
cow,2008_006210,train
dog,2008_006211,train
aeroplane,2008_006213,train
horse,2008_006219,validation
dog,2008_006220,train
sheep,2008_006221,train
bird,2008_006227,validation
boat,2008_006229,validation
bird,2008_006232,train
horse,2008_006235,train
dog,2008_006239,validation
aeroplane,2008_006249,train
chair,2008_006258,train
aeroplane,2008_006265,train
aeroplane,2008_006269,validation
chair,2008_006271,train
bird,2008_006281,train
boat,2008_006289,train
cow,2008_006290,validation
horse,2008_006298,validation
chair,2008_006300,train
chair,2008_006303,validation
chair,2008_006307,validation
chair diningtable,2008_006311,validation
dog,2008_006315,train
horse,2008_006317,train
dog,2008_006320,validation
sheep,2008_006327,validation
chair,2008_006330,validation
dog,2008_006335,train
chair,2008_006337,validation
sheep,2008_006339,train
boat,2008_006349,train
chair,2008_006350,train
aeroplane,2008_006353,train
cow,2008_006355,train
dog,2008_006356,validation
aeroplane,2008_006364,train
train,2008_006365,train
train,2008_006368,validation
bird,2008_006369,train
bird,2008_006376,train
dog,2008_006386,train
chair,2008_006387,train
horse,2008_006390,train
aeroplane,2008_006394,validation
horse,2008_006397,validation
aeroplane,2008_006401,train
boat,2008_006404,train
boat,2008_006407,validation
dog,2008_006416,validation
bird,2008_006419,train
dog,2008_006421,train
dog,2008_006425,validation
horse,2008_006429,validation
bird,2008_006432,train
horse,2008_006434,train
dog,2008_006436,train
bird,2008_006447,train
horse,2008_006448,train
dog,2008_006452,validation
bird,2008_006461,train
aeroplane,2008_006463,validation
chair,2008_006470,train
dog,2008_006474,train
sheep,2008_006477,validation
bird boat,2008_006481,train
diningtable,2008_006482,train
boat,2008_006487,validation
boat,2008_006488,train
boat,2008_006489,validation
boat,2008_006490,train
cow,2008_006496,train
boat,2008_006500,train
dog,2008_006502,validation
bird,2008_006503,validation
dog,2008_006511,train
train,2008_006523,validation
cow,2008_006528,validation
aeroplane,2008_006540,train
dog,2008_006546,train
cow,2008_006547,validation
aeroplane,2008_006548,validation
train,2008_006553,validation
aeroplane,2008_006564,train
bird,2008_006566,train
dog,2008_006568,validation
sheep,2008_006570,train
dog,2008_006578,train
boat,2008_006586,train
dog,2008_006587,validation
diningtable,2008_006588,validation
bird,2008_006598,train
dog,2008_006602,train
aeroplane,2008_006604,validation
chair,2008_006606,train
bird,2008_006610,train
chair diningtable,2008_006611,validation
horse,2008_006613,train
dog,2008_006614,validation
dog,2008_006616,validation
aeroplane,2008_006619,train
aeroplane,2008_006621,validation
aeroplane,2008_006623,train
chair,2008_006624,train
bird,2008_006626,train
aeroplane,2008_006631,validation
aeroplane,2008_006637,train
horse,2008_006646,validation
horse,2008_006650,train
boat,2008_006654,train
train,2008_006655,train
chair,2008_006660,validation
chair,2008_006665,validation
bird,2008_006667,train
aeroplane,2008_006671,validation
aeroplane,2008_006677,train
dog,2008_006682,train
chair,2008_006684,validation
chair,2008_006691,train
boat,2008_006692,train
chair,2008_006696,validation
aeroplane,2008_006700,train
aeroplane,2008_006703,validation
diningtable,2008_006705,train
chair,2008_006710,validation
chair,2008_006712,train
bird,2008_006715,train
dog,2008_006716,validation
dog,2008_006717,train
chair,2008_006719,train
boat,2008_006720,train
dog,2008_006722,validation
dog,2008_006724,train
boat,2008_006730,train
chair,2008_006733,train
dog,2008_006743,validation
boat,2008_006747,validation
diningtable,2008_006750,train
train,2008_006752,validation
horse,2008_006758,validation
aeroplane,2008_006761,train
bird,2008_006764,train
boat,2008_006767,train
aeroplane,2008_006777,validation
aeroplane,2008_006778,train
horse,2008_006779,validation
horse,2008_006797,validation
dog,2008_006798,validation
bird,2008_006802,train
chair diningtable,2008_006808,train
dog,2008_006811,validation
train,2008_006818,train
boat,2008_006824,validation
boat dog,2008_006825,validation
cow,2008_006827,train
boat,2008_006831,validation
aeroplane,2008_006832,train
boat,2008_006833,validation
chair,2008_006834,train
sheep,2008_006835,validation
chair dog,2008_006837,validation
chair,2008_006841,validation
dog,2008_006844,validation
chair,2008_006847,train
train,2008_006849,validation
chair,2008_006863,validation
train,2008_006865,train
dog,2008_006870,validation
bird,2008_006873,train
boat,2008_006877,train
cow,2008_006880,validation
bird,2008_006882,train
sheep,2008_006892,validation
aeroplane,2008_006896,validation
train,2008_006900,validation
sheep,2008_006902,train
boat,2008_006903,train
cow,2008_006904,validation
dog,2008_006908,train
horse,2008_006909,train
horse,2008_006912,validation
train,2008_006919,train
aeroplane,2008_006920,train
bird,2008_006923,train
bird,2008_006924,validation
boat,2008_006925,validation
aeroplane,2008_006933,train
sheep,2008_006939,validation
boat,2008_006949,validation
aeroplane,2008_006951,validation
diningtable,2008_006952,validation
horse,2008_006953,train
bird,2008_006954,train
boat,2008_006961,train
dog,2008_006965,train
dog,2008_006968,validation
diningtable,2008_006969,train
chair,2008_006979,validation
aeroplane,2008_006980,validation
dog,2008_006981,validation
horse,2008_006991,validation
bird,2008_006997,validation
bird,2008_007003,train
horse,2008_007004,train
chair,2008_007006,validation
cow,2008_007009,train
train,2008_007011,train
dog,2008_007012,train
cow,2008_007014,train
dog,2008_007021,validation
bird,2008_007022,train
cow,2008_007025,validation
cow,2008_007026,train
dog,2008_007028,train
chair,2008_007030,train
cow,2008_007031,validation
dog,2008_007045,train
chair diningtable,2008_007048,validation
boat,2008_007056,validation
dog,2008_007057,validation
chair,2008_007061,train
sheep,2008_007069,train
sheep,2008_007070,validation
dog,2008_007073,train
dog,2008_007081,train
train,2008_007084,validation
chair,2008_007085,train
aeroplane,2008_007095,train
aeroplane,2008_007096,validation
chair diningtable,2008_007097,train
bird,2008_007098,train
boat,2008_007101,train
train,2008_007105,validation
dog,2008_007108,validation
train,2008_007115,train
dog,2008_007118,train
bird,2008_007120,validation
cow,2008_007123,validation
bird,2008_007124,train
dog,2008_007131,train
boat,2008_007143,validation
aeroplane,2008_007145,train
dog,2008_007146,train
boat,2008_007156,train
aeroplane,2008_007161,train
dog,2008_007163,validation
chair diningtable,2008_007166,validation
chair dog,2008_007169,train
train,2008_007185,train
dog,2008_007187,validation
bird,2008_007188,validation
train,2008_007189,validation
chair,2008_007194,validation
aeroplane,2008_007195,validation
train,2008_007201,train
bird,2008_007205,train
dog,2008_007208,train
aeroplane,2008_007211,train
chair,2008_007223,train
aeroplane,2008_007229,validation
train,2008_007231,validation
dog,2008_007236,train
horse,2008_007237,train
sheep,2008_007245,train
chair,2008_007246,train
train,2008_007247,validation
bird,2008_007250,validation
boat,2008_007252,train
diningtable,2008_007261,train
bird,2008_007266,validation
cow,2008_007273,validation
dog,2008_007274,train
horse,2008_007277,validation
dog,2008_007279,validation
train,2008_007280,train
chair,2008_007281,train
dog,2008_007286,train
chair,2008_007287,validation
chair diningtable,2008_007291,train
chair,2008_007293,validation
dog,2008_007295,validation
chair,2008_007298,train
boat,2008_007305,validation
chair,2008_007307,train
dog,2008_007311,validation
dog,2008_007312,train
bird,2008_007317,validation
horse,2008_007319,validation
dog,2008_007320,train
dog,2008_007321,train
sheep,2008_007334,validation
chair,2008_007335,train
chair,2008_007339,validation
aeroplane,2008_007343,train
dog,2008_007344,validation
boat,2008_007346,train
aeroplane,2008_007350,validation
aeroplane,2008_007357,train
dog,2008_007358,validation
chair,2008_007361,train
chair,2008_007363,train
aeroplane,2008_007374,validation
chair dog,2008_007378,validation
boat,2008_007382,train
train,2008_007383,train
dog,2008_007384,validation
chair,2008_007388,train
horse,2008_007392,validation
aeroplane,2008_007397,train
cow,2008_007398,validation
chair diningtable,2008_007402,validation
aeroplane,2008_007409,validation
chair,2008_007415,validation
dog,2008_007417,validation
bird,2008_007423,train
horse,2008_007424,train
boat,2008_007425,train
sheep,2008_007430,validation
dog,2008_007433,train
bird,2008_007434,validation
chair diningtable,2008_007438,train
boat,2008_007441,validation
aeroplane,2008_007442,train
horse,2008_007444,train
chair,2008_007452,validation
dog,2008_007455,validation
aeroplane,2008_007458,validation
dog,2008_007461,validation
bird,2008_007465,train
dog,2008_007471,train
bird,2008_007477,train
dog,2008_007478,validation
aeroplane,2008_007480,validation
bird dog,2008_007486,train
dog,2008_007491,train
dog,2008_007494,validation
sheep,2008_007497,validation
bird,2008_007498,validation
bird,2008_007501,validation
aeroplane,2008_007504,train
aeroplane,2008_007507,validation
dog,2008_007509,train
dog,2008_007513,validation
horse,2008_007514,validation
dog,2008_007519,train
train,2008_007521,validation
horse,2008_007524,train
chair,2008_007527,validation
horse,2008_007531,validation
aeroplane,2008_007533,train
dog,2008_007534,validation
dog,2008_007537,train
dog,2008_007538,validation
cow,2008_007544,train
bird,2008_007546,train
dog,2008_007559,train
chair,2008_007561,validation
dog,2008_007567,validation
boat,2008_007574,validation
horse,2008_007576,train
aeroplane,2008_007579,validation
dog,2008_007581,train
dog,2008_007583,validation
cow,2008_007586,validation
bird,2008_007587,validation
horse,2008_007588,train
bird,2008_007593,train
bird,2008_007594,validation
cow,2008_007596,validation
boat,2008_007597,train
boat,2008_007599,validation
aeroplane,2008_007604,train
bird,2008_007608,train
horse,2008_007612,validation
chair,2008_007617,validation
aeroplane,2008_007618,validation
dog,2008_007621,train
bird,2008_007623,validation
horse,2008_007625,train
aeroplane,2008_007629,train
boat,2008_007643,validation
train,2008_007648,train
dog,2008_007649,validation
boat,2008_007653,train
bird,2008_007656,validation
bird,2008_007661,validation
dog,2008_007664,train
dog,2008_007665,train
cow,2008_007666,train
dog,2008_007668,validation
bird,2008_007669,validation
bird,2008_007673,validation
sheep,2008_007677,validation
chair,2008_007685,validation
bird,2008_007688,validation
aeroplane,2008_007690,validation
chair,2008_007691,train
chair diningtable,2008_007692,train
sheep,2008_007693,validation
dog,2008_007694,validation
chair,2008_007704,validation
chair,2008_007706,validation
bird,2008_007709,train
dog,2008_007710,train
bird,2008_007714,validation
diningtable,2008_007717,train
cow,2008_007729,validation
bird,2008_007730,train
dog,2008_007735,validation
chair,2008_007737,validation
aeroplane,2008_007738,validation
chair,2008_007741,validation
chair,2008_007742,train
dog,2008_007745,validation
boat,2008_007748,train
train,2008_007749,validation
boat,2008_007750,train
bird,2008_007752,train
boat,2008_007755,train
aeroplane,2008_007758,train
train,2008_007759,train
train,2008_007760,validation
aeroplane,2008_007764,validation
chair,2008_007768,validation
dog,2008_007770,train
train,2008_007779,train
chair,2008_007780,train
dog,2008_007781,train
train,2008_007787,validation
bird,2008_007788,train
dog,2008_007805,train
sheep,2008_007806,validation
bird,2008_007812,train
sheep,2008_007814,validation
horse,2008_007816,validation
bird,2008_007817,train
dog,2008_007819,validation
chair,2008_007828,validation
train,2008_007829,train
aeroplane,2008_007836,validation
bird,2008_007839,validation
dog,2008_007840,train
boat,2008_007841,validation
chair,2008_007843,train
bird,2008_007848,train
horse,2008_007850,validation
diningtable,2008_007853,validation
bird,2008_007854,validation
bird,2008_007870,train
dog,2008_007871,validation
dog,2008_007875,validation
aeroplane,2008_007879,train
aeroplane boat,2008_007883,train
aeroplane boat,2008_007884,validation
train,2008_007887,validation
sheep,2008_007890,validation
bird,2008_007891,train
chair,2008_007893,validation
horse,2008_007897,train
dog,2008_007902,validation
dog,2008_007907,train
sheep,2008_007909,train
boat,2008_007912,train
dog,2008_007917,validation
chair diningtable,2008_007922,validation
cow,2008_007932,validation
bird,2008_007936,validation
dog,2008_007937,train
boat,2008_007938,train
bird,2008_007940,train
chair,2008_007941,train
horse,2008_007945,validation
bird,2008_007948,validation
chair diningtable,2008_007949,validation
boat,2008_007953,train
boat,2008_007966,validation
aeroplane,2008_007970,validation
sheep,2008_007985,train
chair,2008_007988,train
bird,2008_007994,validation
horse,2008_007998,train
train,2008_007999,train
train,2008_008001,validation
bird,2008_008002,train
aeroplane,2008_008004,train
bird,2008_008007,train
horse,2008_008011,validation
horse,2008_008012,train
train,2008_008020,train
bird,2008_008022,validation
aeroplane,2008_008025,validation
aeroplane,2008_008028,train
horse,2008_008031,train
horse,2008_008034,train
bird,2008_008037,train
horse,2008_008040,validation
aeroplane,2008_008043,train
aeroplane,2008_008044,validation
aeroplane,2008_008048,train
aeroplane,2008_008050,validation
horse,2008_008052,validation
aeroplane,2008_008053,validation
train,2008_008055,validation
bird,2008_008057,validation
chair diningtable,2008_008070,train
bird,2008_008073,train
train,2008_008074,train
horse,2008_008075,validation
boat,2008_008083,train
aeroplane,2008_008086,validation
diningtable,2008_008093,validation
aeroplane,2008_008096,validation
chair diningtable,2008_008098,train
bird,2008_008105,validation
sheep,2008_008109,validation
cow,2008_008115,validation
cow,2008_008121,train
train,2008_008123,validation
bird,2008_008125,train
aeroplane,2008_008130,validation
cow,2008_008132,train
bird,2008_008134,validation
bird,2008_008145,validation
aeroplane,2008_008146,validation
horse,2008_008147,train
aeroplane,2008_008150,train
train,2008_008152,train
chair diningtable,2008_008155,validation
bird,2008_008166,train
cow,2008_008169,train
boat,2008_008170,train
bird,2008_008175,validation
chair,2008_008176,train
aeroplane,2008_008179,validation
aeroplane,2008_008180,train
bird,2008_008185,validation
aeroplane,2008_008191,validation
train,2008_008192,validation
horse,2008_008193,train
bird,2008_008194,train
bird,2008_008197,train
cow,2008_008199,train
train,2008_008200,train
train,2008_008203,validation
bird,2008_008211,train
horse,2008_008212,train
aeroplane,2008_008215,train
train,2008_008221,validation
train,2008_008223,train
diningtable,2008_008224,validation
horse,2008_008229,train
aeroplane,2008_008231,validation
horse,2008_008232,validation
bird,2008_008233,validation
boat,2008_008235,validation
cow,2008_008241,validation
bird,2008_008242,train
aeroplane,2008_008247,train
aeroplane,2008_008254,validation
bird,2008_008257,validation
horse,2008_008262,train
aeroplane,2008_008263,train
diningtable,2008_008266,train
bird,2008_008268,validation
bird,2008_008274,train
train,2008_008275,train
aeroplane,2008_008278,validation
horse,2008_008279,validation
bird,2008_008284,validation
bird,2008_008287,train
bird,2008_008292,validation
aeroplane,2008_008294,train
horse,2008_008296,validation
train,2008_008297,validation
aeroplane,2008_008300,train
train,2008_008302,validation
bird,2008_008309,train
bird,2008_008314,validation
horse,2008_008318,validation
sheep,2008_008319,train
train,2008_008321,train
sheep,2008_008322,validation
sheep,2008_008323,train
chair diningtable,2008_008330,train
train,2008_008336,validation
train,2008_008342,train
aeroplane,2008_008344,train
aeroplane,2008_008345,train
bird,2008_008346,validation
bird,2008_008347,train
bird,2008_008354,validation
horse,2008_008356,train
aeroplane,2008_008359,validation
chair diningtable,2008_008362,validation
chair diningtable,2008_008363,train
train,2008_008364,train
chair diningtable,2008_008365,validation
horse,2008_008366,train
cow,2008_008370,train
aeroplane,2008_008373,validation
bird,2008_008376,validation
bird,2008_008377,validation
train,2008_008379,validation
bird,2008_008380,validation
train,2008_008382,train
bird,2008_008384,train
bird,2008_008387,validation
diningtable,2008_008388,validation
horse,2008_008392,validation
horse,2008_008393,validation
horse,2008_008395,validation
chair diningtable,2008_008402,train
horse,2008_008403,train
bird,2008_008404,train
bird,2008_008406,validation
aeroplane,2008_008411,train
horse,2008_008421,validation
bird,2008_008423,train
aeroplane,2008_008424,validation
cow,2008_008428,train
horse,2008_008431,train
aeroplane,2008_008432,train
dog,2008_008433,validation
bird,2008_008435,validation
cow,2008_008437,validation
chair,2008_008439,validation
diningtable,2008_008440,train
aeroplane,2008_008446,validation
bird,2008_008447,train
horse,2008_008453,validation
bird,2008_008455,train
bird,2008_008461,validation
aeroplane,2008_008464,train
aeroplane,2008_008467,validation
chair,2008_008470,validation
aeroplane,2008_008471,train
diningtable,2008_008474,validation
horse,2008_008476,train
aeroplane,2008_008479,train
cow,2008_008482,train
horse,2008_008487,train
horse,2008_008488,validation
bird,2008_008490,train
aeroplane,2008_008496,train
horse,2008_008500,validation
aeroplane,2008_008501,validation
bird,2008_008506,validation
aeroplane,2008_008507,train
aeroplane,2008_008508,train
bird,2008_008512,validation
aeroplane,2008_008519,validation
cow,2008_008521,train
bird,2008_008523,train
train,2008_008527,validation
horse,2008_008533,train
chair,2008_008536,validation
bird,2008_008537,validation
chair,2008_008538,validation
cow,2008_008541,train
bird,2008_008544,train
train,2008_008545,train
aeroplane,2008_008546,train
chair,2008_008554,validation
aeroplane,2008_008570,validation
dog,2008_008578,train
train,2008_008583,train
chair,2008_008589,train
chair,2008_008593,train
bird,2008_008595,validation
sheep,2008_008601,train
aeroplane,2008_008607,train
sheep,2008_008613,validation
train,2008_008615,validation
boat,2008_008616,train
cow,2008_008617,validation
train,2008_008618,train
chair,2008_008621,validation
dog,2008_008622,validation
sheep,2008_008623,train
train,2008_008632,validation
cow,2008_008635,train
dog,2008_008636,validation
train,2008_008637,train
train,2008_008641,train
chair,2008_008649,train
cow,2008_008654,train
chair,2008_008658,validation
train,2008_008662,validation
sheep,2008_008665,train
sheep,2008_008666,train
sheep,2008_008668,train
train,2008_008673,train
cow,2008_008675,validation
train,2008_008676,validation
train,2008_008681,train
cow,2008_008685,train
train,2008_008690,validation
chair,2008_008694,train
train,2008_008696,train
train,2008_008697,train
cow,2008_008713,validation
dog sheep,2008_008714,train
train,2008_008726,validation
train,2008_008732,validation
train,2008_008735,train
train,2008_008739,validation
sheep,2008_008744,train
bird,2008_008746,validation
train,2008_008749,train
train,2008_008751,validation
train,2008_008757,train
aeroplane,2008_008765,validation
train,2008_008767,validation
train,2008_008770,train
diningtable,2008_008773,train
horse,2009_000001,validation
dog,2009_000002,validation
bird boat,2009_000009,validation
chair,2009_000010,train
train,2009_000011,validation
horse,2009_000012,validation
chair,2009_000014,train
dog,2009_000016,train
horse,2009_000017,validation
train,2009_000022,validation
bird,2009_000026,validation
chair,2009_000028,train
dog,2009_000029,train
aeroplane,2009_000032,validation
bird,2009_000035,validation
bird,2009_000037,validation
sheep,2009_000039,validation
bird,2009_000040,train
dog,2009_000045,validation
train,2009_000051,validation
aeroplane,2009_000052,train
chair,2009_000056,train
diningtable,2009_000058,train
chair,2009_000059,train
cow,2009_000066,validation
horse,2009_000068,validation
train,2009_000073,train
chair,2009_000082,train
aeroplane,2009_000084,validation
dog,2009_000088,train
train,2009_000090,validation
cow,2009_000091,train
boat,2009_000093,validation
chair,2009_000096,validation
horse,2009_000100,train
bird,2009_000103,train
train,2009_000105,train
chair diningtable,2009_000109,train
boat,2009_000120,train
aeroplane,2009_000122,train
bird,2009_000124,validation
aeroplane,2009_000133,train
train,2009_000137,train
diningtable,2009_000141,train
dog,2009_000142,validation
dog,2009_000145,train
bird,2009_000146,validation
bird,2009_000151,train
dog,2009_000156,validation
chair,2009_000157,validation
aeroplane,2009_000159,train
chair diningtable,2009_000164,train
sheep,2009_000168,train
horse,2009_000169,validation
train,2009_000177,train
dog,2009_000181,validation
chair,2009_000182,validation
chair diningtable,2009_000188,train
dog,2009_000189,validation
chair,2009_000192,validation
chair,2009_000198,validation
aeroplane,2009_000205,validation
bird,2009_000206,validation
chair,2009_000209,train
chair diningtable,2009_000212,validation
chair,2009_000214,validation
bird,2009_000218,train
cow,2009_000219,validation
sheep,2009_000223,train
aeroplane,2009_000225,validation
bird,2009_000229,train
chair dog,2009_000232,train
train,2009_000244,validation
diningtable,2009_000247,validation
horse,2009_000248,train
cow,2009_000250,train
chair,2009_000251,train
bird,2009_000254,validation
diningtable,2009_000257,validation
aeroplane,2009_000260,validation
horse,2009_000268,train
dog,2009_000282,validation
train,2009_000283,validation
cow,2009_000285,train
dog,2009_000287,train
sheep,2009_000289,train
horse,2009_000293,validation
chair,2009_000298,validation
diningtable,2009_000300,validation
chair,2009_000304,validation
boat,2009_000305,validation
boat,2009_000308,validation
cow,2009_000309,validation
horse,2009_000312,validation
chair,2009_000316,validation
bird,2009_000317,train
bird,2009_000318,validation
aeroplane,2009_000320,train
dog,2009_000321,validation
aeroplane,2009_000327,train
dog,2009_000339,train
train,2009_000347,train
sheep,2009_000356,validation
aeroplane,2009_000367,train
bird,2009_000370,validation
boat,2009_000378,validation
boat,2009_000385,train
aeroplane,2009_000387,validation
bird,2009_000389,validation
chair,2009_000391,validation
bird,2009_000393,train
aeroplane,2009_000397,validation
dog,2009_000400,train
horse,2009_000409,train
dog,2009_000410,validation
horse,2009_000412,validation
dog,2009_000416,train
aeroplane,2009_000417,validation
boat,2009_000420,train
boat,2009_000421,validation
chair,2009_000422,validation
dog,2009_000430,validation
bird,2009_000435,validation
chair,2009_000439,train
aeroplane,2009_000440,validation
train,2009_000443,train
boat,2009_000446,validation
dog,2009_000449,train
dog,2009_000452,train
chair,2009_000453,validation
bird,2009_000454,train
boat,2009_000469,validation
cow,2009_000471,train
cow,2009_000472,validation
train,2009_000476,train
boat,2009_000477,train
chair,2009_000483,validation
bird,2009_000486,train
boat,2009_000491,train
dog,2009_000496,validation
dog,2009_000499,validation
aeroplane,2009_000500,train
train,2009_000501,validation
diningtable,2009_000502,train
bird,2009_000503,train
dog,2009_000512,validation
aeroplane,2009_000513,validation
boat,2009_000516,validation
bird,2009_000527,train
horse,2009_000529,train
bird,2009_000536,validation
dog,2009_000539,train
aeroplane,2009_000545,validation
diningtable,2009_000546,train
horse,2009_000547,train
dog,2009_000550,validation
chair,2009_000552,validation
cow,2009_000559,validation
aeroplane,2009_000560,train
horse,2009_000565,train
chair,2009_000567,train
cow,2009_000574,validation
diningtable,2009_000575,train
horse,2009_000576,train
chair dog,2009_000577,train
bird,2009_000579,train
dog,2009_000586,train
chair,2009_000590,validation
train,2009_000592,train
dog,2009_000593,validation
train,2009_000597,validation
dog,2009_000600,train
horse,2009_000603,train
chair,2009_000604,train
boat,2009_000608,validation
bird,2009_000619,validation
chair,2009_000624,validation
aeroplane,2009_000625,validation
cow,2009_000626,train
train,2009_000628,validation
chair,2009_000629,train
cow,2009_000632,train
dog,2009_000636,train
cow,2009_000641,validation
horse,2009_000642,train
dog,2009_000647,validation
dog,2009_000651,train
chair diningtable,2009_000655,train
train,2009_000658,validation
aeroplane,2009_000661,validation
aeroplane,2009_000662,train
train,2009_000663,train
bird,2009_000664,validation
sheep,2009_000670,validation
chair,2009_000672,train
sheep,2009_000675,validation
bird,2009_000677,validation
boat,2009_000686,train
train,2009_000689,validation
boat,2009_000690,train
horse,2009_000691,validation
bird,2009_000692,train
cow,2009_000694,train
aeroplane,2009_000695,train
dog,2009_000702,validation
horse,2009_000705,validation
cow,2009_000709,train
train,2009_000712,validation
dog,2009_000718,train
chair,2009_000722,train
boat,2009_000723,validation
sheep,2009_000725,validation
horse,2009_000727,validation
cow,2009_000731,validation
aeroplane,2009_000734,validation
bird,2009_000746,train
bird,2009_000748,train
sheep,2009_000750,train
boat,2009_000752,train
bird,2009_000758,validation
diningtable,2009_000759,train
chair diningtable,2009_000760,validation
chair,2009_000762,validation
cow,2009_000768,train
dog,2009_000770,train
cow,2009_000771,validation
dog,2009_000774,train
dog,2009_000778,validation
dog,2009_000779,validation
train,2009_000789,train
bird,2009_000790,train
horse,2009_000793,train
chair,2009_000794,train
aeroplane,2009_000796,train
aeroplane,2009_000801,train
dog,2009_000804,train
chair diningtable,2009_000811,validation
bird,2009_000812,validation
chair,2009_000816,train
aeroplane,2009_000817,validation
horse,2009_000823,validation
train,2009_000824,validation
boat,2009_000828,validation
boat,2009_000829,validation
boat,2009_000830,validation
diningtable,2009_000831,train
chair diningtable,2009_000834,train
sheep,2009_000837,validation
dog,2009_000839,validation
horse,2009_000843,validation
train,2009_000845,validation
diningtable,2009_000846,validation
bird,2009_000849,train
chair,2009_000851,validation
horse,2009_000852,validation
dog,2009_000856,validation
diningtable,2009_000867,train
dog,2009_000869,train
dog,2009_000871,validation
dog,2009_000874,train
bird,2009_000879,validation
aeroplane,2009_000887,train
train,2009_000890,validation
dog,2009_000892,validation
bird,2009_000898,validation
cow,2009_000899,train
bird,2009_000904,validation
aeroplane,2009_000909,validation
train,2009_000910,train
boat,2009_000919,validation
train,2009_000920,train
dog,2009_000923,validation
sheep,2009_000924,validation
boat,2009_000927,train
chair,2009_000928,validation
bird,2009_000930,train
horse,2009_000931,validation
bird,2009_000932,train
horse,2009_000934,validation
dog,2009_000935,validation
bird,2009_000938,train
chair,2009_000939,validation
dog,2009_000953,train
bird,2009_000958,validation
bird,2009_000961,train
aeroplane,2009_000967,train
chair diningtable,2009_000969,train
cow,2009_000971,validation
chair,2009_000973,train
train,2009_000974,train
dog,2009_000979,train
chair diningtable,2009_000980,train
dog,2009_000989,validation
bird,2009_000991,validation
boat,2009_000996,train
bird,2009_000998,validation
chair,2009_001000,validation
dog,2009_001006,validation
train,2009_001007,validation
chair diningtable,2009_001009,train
diningtable,2009_001011,validation
chair,2009_001012,train
horse,2009_001013,train
boat,2009_001019,train
chair,2009_001021,validation
dog,2009_001026,validation
aeroplane,2009_001027,train
chair,2009_001028,validation
horse,2009_001036,train
chair,2009_001038,validation
bird,2009_001040,train
train,2009_001042,train
dog,2009_001052,train
diningtable,2009_001054,validation
horse,2009_001055,validation
aeroplane,2009_001056,train
chair diningtable,2009_001057,validation
dog,2009_001066,validation
chair,2009_001070,train
dog,2009_001075,validation
train,2009_001078,train
cow,2009_001079,train
chair,2009_001085,train
aeroplane,2009_001090,validation
chair diningtable,2009_001095,train
boat,2009_001102,train
cow,2009_001104,train
chair diningtable,2009_001105,train
bird,2009_001108,validation
horse,2009_001110,train
train,2009_001118,validation
dog,2009_001124,train
bird,2009_001128,validation
aeroplane,2009_001129,train
dog,2009_001133,train
cow,2009_001134,validation
dog,2009_001139,validation
cow,2009_001145,train
horse,2009_001147,train
train,2009_001152,train
chair,2009_001154,train
bird,2009_001160,validation
cow,2009_001163,train
train,2009_001164,validation
bird,2009_001166,validation
sheep,2009_001172,train
sheep,2009_001177,train
horse,2009_001180,train
cow horse,2009_001184,validation
train,2009_001192,train
